,link,text,username,date,likes,comments,retweets
0,https://twitter.com/striver_79/status/1687651705494646784#m,"Pic 1: End of 2021.   Diagnosed with neck tumor. Had a surgery to extract it out, leaving a 6 inch cut on neck. Could not move by neck for a month. Post tumor, ended up with TB, blood vomits for 4/5 months. End of October, was back to normal.   Joined Google, moved to a new country in 6 months.   Pic 2: Starting of 2023  Up and running. Fixed myself as much as possible myself. Hitting the gym more often.   Lot of people term me “lucky”, etc. Not everyone knows what goes on behind the lens. You only see few minutes.   #striver",@striver_79,"Aug 5, 2023 · 2:28 AM UTC",5250,219,150
1,https://twitter.com/striver_79/status/1791903383437394335#m,"Probably the last of Mahi ♥️  Thank you for all the memories. Don’t think he will be back, given that we have the mega auction next year.   #Dhoni",@striver_79,"May 18, 2024 · 6:47 PM UTC",858,20,22
2,https://twitter.com/striver_79/status/1791902794276069568#m,"Yash Dayal.  Last year got smacked for 5 sixes. This year is the hero.   Shows it, how the game rewards you, if you stand there and believe ♥️",@striver_79,"May 18, 2024 · 6:44 PM UTC",438,3,12
3,https://twitter.com/striver_79/status/1791901438534443416#m,"Virat is the GOAT 🔥🥵  Cannot recall another player who has cracked all the three formats. Be it average, be it strike rate 🙌🙏🏻",@striver_79,"May 18, 2024 · 6:39 PM UTC",1178,27,62
4,https://twitter.com/striver_79/status/1791900493138272728#m,Take a bow RCB 🙏🏻🥵  6 wins on the trot 🔥,@striver_79,"May 18, 2024 · 6:35 PM UTC",754,21,10
5,https://twitter.com/striver_79/status/1791852133022900355#m,"The slog sweep addition to the armoury of Virat Kohli has helped him immensely against Spin this season🔥  On the other side, the track’s spinning 😵‍💫   Gem of an innings by Virat 👌🏻  #CSKvsRCB",@striver_79,"May 18, 2024 · 3:23 PM UTC",615,16,8
6,https://twitter.com/striver_79/status/1791701673200451723#m,"Day 5/30 of sharing my learnings in tech.   Using Docker is essential when building apps.  Imagine you're working on a project with a team using different computers—Windows, Mac, Linux. Normally, this causes problems because software might work on one computer but not on another due to different setups.  Docker solves this by packaging your app in a neat container with everything it needs—code, libraries, tools. This way, it runs the same on any computer.  In production, Docker ensures your app runs consistently, scales easily, and deploys quickly. Containers prevent conflicts, use fewer resources than VMs, save costs, and boost performance, making production more reliable and efficient.  #techWithStriver #striver",@striver_79,"May 18, 2024 · 5:25 AM UTC",693,18,25
7,https://twitter.com/striver_79/status/1791331564514873387#m,Shall I continue this series?,@striver_79,"May 17, 2024 · 4:55 AM UTC",523,82,1
8,https://twitter.com/striver_79/status/1791330812849209448#m,"Day 4/30 of sharing my tech learnings  Use rate limiters while designing your applications to mainly prevent abuse or DDoS attacks. Other use cases could be cost management and resource consumption (usually applicable to early startups/personal projects)   You can block requests beyond a number every minute or so, this is the easiest implementation.   But a better way will be to use the “tocken bucket algorithm” or the “sliding window algo” to allow requests on basis of resource availability.   #techWithStriver",@striver_79,"May 17, 2024 · 4:52 AM UTC",627,18,11
9,https://twitter.com/striver_79/status/1790957336515027035#m,"Day 3/30 of sharing my learnings around tech.   Most freshers or new engineers miss out on caching of images when they build a project.   Rather than fetching images directly from cloud storage(let’s say S3 in AWS or GCS in GCP), try caching them using cloudfront in AWS of CDN in GCP.   Note: if you update the file on your storage, make sure to invalidate cloudfront/cdn or else it will still serve the old content.   This will save you money, and help you in improving latency.   #techWithStriver",@striver_79,"May 16, 2024 · 4:07 AM UTC",888,10,13
10,https://twitter.com/striver_79/status/1790593549433708602#m,#techWithStriver,@striver_79,"May 15, 2024 · 4:02 AM UTC",35,1,0
11,https://twitter.com/striver_79/status/1790593427572400398#m,I have decided that I will be writing daily a stuff related to tech from my experience for the next 30 days.,@striver_79,"May 15, 2024 · 4:01 AM UTC",383,2,1
12,https://twitter.com/striver_79/status/1790593128354988254#m,"How do you implement one log-in mechanism?   Here’s how I would do it 👇🏼  - Once the first user logs in, store the session key in DB. Keep the expiry time as desired.  - If the second user logs in with same creds from somewhere else, replace the session key stored in the DB.  - When the first user tries to access any link, log him out as his session key does not matches with the one stored in DB.   to optimise implement caching so that you don’t do a lot of db reads.   Let me know how would you do it?   #techWithStriver",@striver_79,"May 15, 2024 · 4:00 AM UTC",755,25,20
13,https://twitter.com/striver_79/status/1790448348983398455#m,"Google will always be multiple steps ahead in most cases because of their deeply integrated ecosystem.   Other AI tools don’t have that ecosystem, nor the volume of users.   #GoogleIO2024",@striver_79,"May 14, 2024 · 6:25 PM UTC",699,19,9
14,https://twitter.com/striver_79/status/1790445615765131714#m,Gemini integrated deeply in Google search to give you customised results in different UX 🥵👌🏻🔥  #GoogleIO2024,@striver_79,"May 14, 2024 · 6:14 PM UTC",546,7,6
15,https://twitter.com/striver_79/status/1790238115434758268#m,Suru hogaya in logon ka 😂,@striver_79,"May 14, 2024 · 4:30 AM UTC",1263,49,37
16,https://twitter.com/striver_79/status/1790223460783820828#m,"Interns joining day at Google today, and the cafeteria filled with fresh energetic faces at 08:30 AM   Reminds me of my intern days 😅",@striver_79,"May 14, 2024 · 3:31 AM UTC",1860,22,10
17,https://twitter.com/striver_79/status/1790205844187156771#m,One thing if I will advice myself if I can turn the clock back:   Do a small POC(proof of concept) of your design before implementing it on full scale. There are bunch of suprises always in a large code base specifically.,@striver_79,"May 14, 2024 · 2:21 AM UTC",660,8,11
18,https://twitter.com/striver_79/status/1789651710979592512#m,CSK inching into playoffs. Almost there.  They keep doing it every IPL. Some consistency 👌🏻,@striver_79,"May 12, 2024 · 1:39 PM UTC",307,23,0
19,https://twitter.com/striver_79/status/1789577428693913646#m,"Last 1 month, the traffic on @takeUforward_ has been crazy.   With ad’s off and link collaboration gone, we have to figure out something before we shut down ❌    Hopefully, TUF+ will be the solution 🙏🏻",@striver_79,"May 12, 2024 · 8:44 AM UTC",503,29,0
20,https://twitter.com/striver_79/status/1789159192181473359#m,"Got the ticket for RCB vs CSK, thank you so much 🙏🏻   Not revealing the identity, as he might face issues.",@striver_79,"May 11, 2024 · 5:02 AM UTC",1139,26,11
21,https://twitter.com/striver_79/status/1788907448843252079#m,"Guess what, I did this back in 2021.   And what SRK said, it works. We will moving in soon in couple of months 😀  PS: the advice may not work out for everyone, analyse carefully.",@striver_79,"May 10, 2024 · 12:22 PM UTC",862,14,16
22,https://twitter.com/striver_79/status/1788193772402266556#m,"After a lot of user feedbacks and business reasons, we have decided to drop codestudio links from our sheets.   From now onwards, you will see lc link, it it’s there, if it isn’t you will see gfg link, if both are not there, you will see the cs link.   Apologies for the inconvenience caused. But third party services are usually like this 🥲",@striver_79,"May 8, 2024 · 1:06 PM UTC",661,47,4
23,https://twitter.com/striver_79/status/1788109002980938109#m,"Anyone has tickets for rcb vs csk 😅  If you are willing to give away, please dm me the price. 🙌",@striver_79,"May 8, 2024 · 7:29 AM UTC",419,21,1
24,https://twitter.com/striver_79/status/1787916856080077064#m,He has to be the first choice. And possibly the No.3 when India field their first XI   Pant for some reason has never been able to do well in T20I.,@striver_79,"May 7, 2024 · 6:46 PM UTC",253,20,4
25,https://twitter.com/striver_79/status/1787117727456387558#m,"I am in the best phase of my life probably.   Professionally, quite happy on how I am doing.   Personal front pe bhi, happy that I can get everything that I wished for my family.   Social media wise I am happy that I never took decisions based on money offered, which is probably the reason the hate is mostly zero, and my mental peace is at a great place.",@striver_79,"May 5, 2024 · 1:50 PM UTC",2432,73,39
26,https://twitter.com/striver_79/status/1785667711902924826#m,"People need to understand that paying upfront for courses where they are enrolling just for opportunities thing is the worst thing you can get into.   If you are paying for content, it’s your call, if you feel 2/3L if payable for the value they add, I have no issues there. Your money, your call.   The sales teams of these organisations are highly skilled, they will literally sell you dreams which might just not be feasible in real world.",@striver_79,"May 1, 2024 · 1:48 PM UTC",313,28,7
27,https://twitter.com/striver_79/status/1785354705859936277#m,Done with the 🇺🇸 trip.   On to my permanent location forever 🇮🇳,@striver_79,"Apr 30, 2024 · 5:05 PM UTC",862,11,2
28,https://twitter.com/striver_79/status/1785314025888248236#m,"What’s the point of taking Jadeja and Axar in a WC 🤦🏼‍♂️  Don’t see them playing together at any point of time.   Rinku was unlucky, but KKR management not giving him enough chances meant he was not in the eyes. Feel for him.   My 11:  Jaiswal Rohit Kohli  Surya Dube (floater against spin)  Samson  Pandya  Jadeja  Bumrah  Chahal/kuldeep (if too many lefties)  Arshdeep   #WCT20",@striver_79,"Apr 30, 2024 · 2:23 PM UTC",641,93,10
29,https://twitter.com/striver_79/status/1784711432032153864#m,Please try this if you are facing any sort of un-authorised error!,@striver_79,"Apr 28, 2024 · 10:28 PM UTC",383,10,5
30,https://twitter.com/striver_79/status/1783913693060993459#m,IPL is boring this year.   Scrap this impact player rule 🙏🏻  #IPL2024,@striver_79,"Apr 26, 2024 · 5:39 PM UTC",2731,98,100
31,https://twitter.com/striver_79/status/1783833033101267381#m,"As a part of my daily commute, I often book cabs from BluSmart. Elections have finally started in Bangalore, and I came across this little campaign run by BluSmart, where they are urging people of Bangalore to vote.  This is a great initiative by @BluSmartIndia and I’m happy to see people acknowledge it and start a much-needed conversation. Also, have you guys voted yet? It’s a simple but responsible choice with the potential to create a greater impact.  So, all my readers, don’t miss your chance to be a part of a greater change and cast your vote.  #SmartCitizen",@striver_79,"Apr 26, 2024 · 12:18 PM UTC",364,14,81
32,https://twitter.com/striver_79/status/1783028424459854107#m,"One more off the bucket list ✅  At Google, Mountain View 🙌",@striver_79,"Apr 24, 2024 · 7:01 AM UTC",2235,29,9
33,https://twitter.com/striver_79/status/1782075916316966932#m,"People say I don’t enjoy life, I do!   Here’s one more country ✅ 🇺🇸",@striver_79,"Apr 21, 2024 · 3:56 PM UTC",2059,51,12
34,https://twitter.com/striver_79/status/1781690749169586645#m,"This guy, Abhishek Sharma is some talent 🌟  He bowls too, was reading last year. India’s talent pool 🙏🏻   #ipl",@striver_79,"Apr 20, 2024 · 2:25 PM UTC",1309,36,34
35,https://twitter.com/striver_79/status/1780635258632933440#m,"It’s okay to leave your job and pursue something else.   Saw the video of Nishant, and did not find any sort of thing to actually hate on.   Was an honest video acc to me, and nothing like “left for you” or “revolution” vibes.  People leave jobs, people switch, chill karo. Cheers!",@striver_79,"Apr 17, 2024 · 4:31 PM UTC",1395,57,20
36,https://twitter.com/striver_79/status/1779867488169472292#m,Damn 🔥   That’s nearly 2M in 1 week. Our new updated website is pulling in a lot of views 😍,@striver_79,"Apr 15, 2024 · 1:40 PM UTC",522,26,2
37,https://twitter.com/striver_79/status/1779074002667106403#m,"Loved the new update that's rolled out on the new gen hiring App.   - Profile section to showcase your skills, unique journey.  - Showcasing kudos in the profile section.  - Dynamic listing on the job portal  - DM to hiring managers and other recruiters without any extra charges.   You can download and check out the NextLevel app from the Link: https://next-level.onelink.me/vJGp/k9p8aq6y",@striver_79,"Apr 13, 2024 · 9:07 AM UTC",244,3,4
38,https://twitter.com/striver_79/status/1778719975970410946#m,"One more check off my bucket list ✅   Emirates Airbus A380, the largest passenger aircraft 🙌",@striver_79,"Apr 12, 2024 · 9:41 AM UTC",1697,28,12
39,https://twitter.com/striver_79/status/1778375566489452889#m,"I have been working ~15 hours a day since the last 2 months.   - deploying the migrated website - building TUF+  - doing my full time job (takes 8-9h)  - recording videos   The body does give up at times, but the efforts paying off. The new TUF is visited by 50K+ people daily now ♥️  After this plus thing goes live, I will have bit more time to relax. Hopefully 🤞",@striver_79,"Apr 11, 2024 · 10:52 AM UTC",1902,33,36
