,link,text,username,date,likes,comments,retweets
0,https://twitter.com/kirat_tw/status/1633685473821425666#m,Off to a million. Thankyou everyone ❤️,@kirat_tw,"Mar 9, 2023 · 4:25 AM UTC",3579,132,32
1,https://twitter.com/Meph0x/status/1792110420133871884#m,Just launched my customizable portfolio template. Shoutout to @kirat_tw's cohort for the inspiration! Dive into the code and let's create something amazing together! Check it out at https://thinkersclub.xyz & on GitHub: https://github.com/Ayoush/portfolio #opensource #frontend #github,@Meph0x,"May 19, 2024 · 8:29 AM UTC",1,0,1
2,https://twitter.com/mihirsingh38/status/1792114520967741481#m,"Hey everyone, just wanted to share that I have started learning from @kirat_tw Cohort 2.0. I will be sharing my learnings daily. I have previous experience with MERN stack although just by completing week 1 and 2.1, i have got a better understanding of callbacks, promises, async",@mihirsingh38,"May 19, 2024 · 8:46 AM UTC",9,1,1
3,https://twitter.com/krishnagtwt/status/1792103328987615469#m,my feed feels like it's been taken over by @kirat_tw's cohort – their posts are everywhere!  #100xDevs #opensource #contributions #cohort,@krishnagtwt,"May 19, 2024 · 8:01 AM UTC",15,0,1
4,https://twitter.com/vimalmudalagi/status/1791919450226077758#m,"Day 3 of #100daysofcode @kirat_tw @100xdevs •week 1 completed. learned async, await and promises. Starting Express from tomorrow. •ML - started with basic probability.",@vimalmudalagi,"May 18, 2024 · 7:51 PM UTC",13,2,0
5,https://twitter.com/Sujan__007/status/1792101055011959036#m,"Enrolled in @kirat_tw 's 0–100 cohort - discovered how browsers display webpages. - grasped the fundamentals of HTML and CSS - leveraging these foundations, constructed the homepage of Zerodha.  #100xDevs",@Sujan__007,"May 19, 2024 · 7:52 AM UTC",9,0,1
6,https://twitter.com/singh_loke28577/status/1791972821838811173#m,It's 5 in the morning and I am watching the web3 tutorial by @kirat_tw . Just to prepare my self for web3 cohort so I can recognise the buzzwords 😵😵😵  #web3‌‌ #100xdevs,@singh_loke28577,"May 18, 2024 · 11:23 PM UTC",18,1,1
7,https://twitter.com/Punyakrit22/status/1791983896059621736#m,Exploring @nextauthjs docs taught by @kirat_tw,@Punyakrit22,"May 19, 2024 · 12:07 AM UTC",8,1,1
8,https://twitter.com/_fuday/status/1792035941680549923#m,Day 18 of #50DaysOfCode: Just wrapped up JWT authentication and MongoDB! ✅ Now diving into problem-solving and backend revision before tackling React.,@_fuday,"May 19, 2024 · 3:33 AM UTC",4,0,1
9,https://twitter.com/UtkarshTiwari90/status/1792051744542998854#m,Hey Folks ! Today I learnt an important concept of useEffect hook from @kirat_tw sir🚀🚀 Here's how I would explain this concept to a 10 year old in simple language using an example of coin game 👇👇,@UtkarshTiwari90,"May 19, 2024 · 4:36 AM UTC",17,1,1
10,https://twitter.com/ItzVishruth/status/1792053281046565069#m,@100xdevs cohort is getting interesting day by day.  Thanks to @kirat_tw ❤️,@ItzVishruth,"May 19, 2024 · 4:42 AM UTC",4,0,1
